iter	Passed	Remaining
928	23209	1773
929	23232	1748
930	23253	1723
931	23274	1698
932	23297	1673
933	23321	1647
934	23342	1622
935	23363	1597
936	23382	1572
937	23409	1547
938	23428	1521
939	23448	1496
940	23471	1471
941	23495	1446
942	23519	1421
943	23544	1396
944	23568	1371
945	23590	1346
946	23612	1321
947	23634	1296
948	23656	1271
949	23677	1246
950	23696	1220
951	23720	1195
952	23743	1170
953	23764	1145
954	23786	1120
955	23812	1095
956	23836	1071
957	23857	1045
958	23878	1020
959	23901	995
960	23923	970
961	23948	946
962	23970	920
963	23990	895
964	24019	871
965	24052	846
966	24079	821
967	24104	796
968	24132	772
969	24156	747
970	24183	722
971	24208	697
972	24230	672
973	24255	647
974	24280	622
975	24302	597
976	24325	572
977	24350	547
978	24373	522
979	24398	497
980	24420	472
981	24443	448
982	24468	423
983	24494	398
984	24516	373
985	24541	348
986	24570	323
987	24631	299
988	24681	274
989	24736	249
990	24778	225
991	24811	200
992	24840	175
993	24863	150
994	24891	125
995	24912	100
996	24933	75
997	24958	50
998	24979	25
999	25008	0
